"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","names","NormHP","NormAttack","NormDefense","Performance","Grade"
"41",29,"Poison","",275,55,47,52,40,40,41,"Nidoran♀",0.21259842519685,0.227027027027027,0.191836734693878,0.00945911288116013,"Weak"
"42",30,"Poison","",365,70,62,67,55,55,56,"Nidorina",0.271653543307087,0.308108108108108,0.253061224489796,0.0213808852078818,"Weak"
"43",31,"Poison","Ground",505,90,92,87,75,85,76,"Nidoqueen",0.350393700787402,0.47027027027027,0.33469387755102,0.0553507702463833,"Weak"
"44",32,"Poison","",273,46,57,40,40,40,50,"Nidoran♂",0.177165354330709,0.281081081081081,0.142857142857143,0.00731397561791263,"Weak"
"45",33,"Poison","",365,61,72,57,55,55,65,"Nidorino",0.236220472440945,0.362162162162162,0.212244897959184,0.0183575758628627,"Weak"
"46",34,"Poison","Ground",505,81,102,77,85,75,85,"Nidoking",0.31496062992126,0.524324324324324,0.293877551020408,0.0487313853142875,"Weak"
"47",35,"Fairy","",323,70,45,48,60,65,35,"Clefairy",0.271653543307087,0.216216216216216,0.175510204081633,0.0105087500162866,"Weak"
"48",36,"Fairy","",483,95,70,73,95,90,60,"Clefable",0.37007874015748,0.351351351351351,0.277551020408163,0.0362893112299187,"Weak"
"49",37,"Fire","",299,38,41,40,50,65,65,"Vulpix",0.145669291338583,0.194594594594595,0.142857142857143,0.00424949381327334,"Weak"
"50",37,"Ice","",299,38,41,40,50,65,65,"Vulpix Alolan Vulpix",0.145669291338583,0.194594594594595,0.142857142857143,0.00424949381327334,"Weak"
"51",38,"Fire","",505,73,76,75,81,100,100,"Ninetales",0.283464566929134,0.383783783783784,0.285714285714286,0.0312826011613413,"Weak"
"52",38,"Ice","Fairy",505,73,67,75,81,100,109,"Ninetales Alolan Ninetales",0.283464566929134,0.335135135135135,0.285714285714286,0.0273425531268051,"Weak"
"53",39,"Normal","Fairy",270,115,45,20,45,25,20,"Jigglypuff",0.448818897637795,0.216216216216216,0.0612244897959184,0.00614134227430065,"Weak"
"54",40,"Normal","Fairy",435,140,70,45,85,50,45,"Wigglytuff",0.547244094488189,0.351351351351351,0.163265306122449,0.0315918289171382,"Weak"
"55",41,"Poison","Flying",245,40,45,35,30,40,55,"Zubat",0.153543307086614,0.216216216216216,0.122448979591837,0.0042651289245215,"Weak"
"56",42,"Poison","Flying",455,75,80,70,65,75,90,"Golbat",0.291338582677165,0.405405405405405,0.26530612244898,0.0315353687931866,"Weak"
"57",43,"Grass","Poison",320,45,50,55,75,65,30,"Oddish",0.173228346456693,0.243243243243243,0.204081632653061,0.00879931118648779,"Weak"
"58",44,"Grass","Poison",395,60,65,70,85,75,40,"Gloom",0.232283464566929,0.324324324324324,0.26530612244898,0.0201868838788974,"Weak"
"59",45,"Grass","Poison",490,75,80,85,110,90,50,"Vileplume",0.291338582677165,0.405405405405405,0.326530612244898,0.0387666077454604,"Weak"
"60",46,"Bug","Grass",285,35,70,55,45,55,25,"Paras",0.133858267716535,0.351351351351351,0.204081632653061,0.00979822107178688,"Weak"
"61",47,"Bug","Grass",405,60,95,80,60,80,30,"Parasect",0.232283464566929,0.486486486486487,0.306122448979592,0.0347926836365532,"Weak"
"62",48,"Bug","Poison",305,60,55,50,40,55,45,"Venonat",0.232283464566929,0.27027027027027,0.183673469387755,0.0117308945455177,"Weak"
"63",49,"Bug","Poison",450,70,65,60,90,75,90,"Venomoth",0.271653543307087,0.324324324324324,0.224489795918367,0.0199784157289219,"Weak"
"64",50,"Ground","",265,10,55,25,35,45,95,"Diglett",0.0354330708661417,0.27027027027027,0.0816326530612245,0.000981755562407981,"Weak"
"65",50,"Ground","Steel",265,10,55,30,35,45,90,"Diglett Alolan Diglett",0.0354330708661417,0.27027027027027,0.102040816326531,0.00117719445300998,"Weak"
"66",51,"Ground","",425,35,100,50,50,70,120,"Dugtrio",0.133858267716535,0.513513513513513,0.183673469387755,0.0128253523328889,"Weak"
"67",51,"Ground","Steel",425,35,100,60,50,70,110,"Dugtrio Alolan Dugtrio",0.133858267716535,0.513513513513513,0.224489795918367,0.015630986184642,"Weak"
"68",52,"Normal","",290,40,45,35,40,40,90,"Meowth",0.153543307086614,0.216216216216216,0.122448979591837,0.0042651289245215,"Weak"
"69",52,"Dark","",290,40,35,35,50,40,90,"Meowth Alolan Meowth",0.153543307086614,0.162162162162162,0.122448979591837,0.00324884669339113,"Weak"
"70",52,"Steel","",290,50,65,55,40,40,40,"Meowth Galarian Meowth",0.192913385826772,0.324324324324324,0.204081632653061,0.012968674185997,"Weak"
"71",53,"Normal","",440,65,70,60,65,65,115,"Persian",0.251968503937008,0.351351351351351,0.224489795918367,0.020073963630994,"Weak"
"72",53,"Dark","",440,65,60,60,75,65,115,"Persian Alolan Persian",0.251968503937008,0.297297297297297,0.224489795918367,0.0170164307646872,"Weak"
"73",54,"Water","",320,50,52,48,65,50,55,"Psyduck",0.192913385826772,0.254054054054054,0.175510204081633,0.00880183017663333,"Weak"
"74",55,"Water","",500,80,82,78,95,80,85,"Golduck",0.311023622047244,0.416216216216216,0.297959183673469,0.0387717325874806,"Weak"
"75",56,"Fighting","",305,40,80,35,35,45,70,"Mankey",0.153543307086614,0.405405405405405,0.122448979591837,0.00782211673347781,"Weak"
"76",57,"Fighting","",455,65,105,60,60,70,95,"Primeape",0.251968503937008,0.540540540540541,0.224489795918367,0.0307753286630677,"Weak"
"77",58,"Fire","",350,55,70,45,70,50,60,"Growlithe",0.21259842519685,0.351351351351351,0.163265306122449,0.0123953867735645,"Weak"
"78",58,"Fire","Rock",350,60,75,45,65,50,55,"Growlithe Hisuian Growlithe",0.232283464566929,0.378378378378378,0.163265306122449,0.0145495576566443,"Weak"
"79",59,"Fire","",555,90,110,80,100,80,95,"Arcanine",0.350393700787402,0.567567567567568,0.306122448979592,0.0610792144225215,"Weak"
"80",59,"Fire","Rock",555,95,115,80,95,80,90,"Arcanine Hisuian Arcanine",0.37007874015748,0.594594594594595,0.306122448979592,0.067561270960821,"Weak"
"81",60,"Water","",300,40,50,40,40,40,90,"Poliwag",0.153543307086614,0.243243243243243,0.142857142857143,0.00553548171343447,"Weak"
"82",61,"Water","",385,65,65,65,50,50,90,"Poliwhirl",0.251968503937008,0.324324324324324,0.244897959183673,0.0202129423976443,"Weak"
"83",62,"Water","Fighting",510,90,95,95,70,90,70,"Poliwrath",0.350393700787402,0.486486486486487,0.36734693877551,0.0628186205488793,"Weak"
"84",63,"Psychic","",310,25,20,15,105,55,90,"Abra",0.094488188976378,0.0810810810810811,0.0408163265306122,0.000512702224963192,"Weak"
"85",64,"Psychic","",400,40,35,30,120,70,105,"Kadabra",0.153543307086614,0.162162162162162,0.102040816326531,0.00274070557782594,"Weak"
"86",65,"Psychic","",500,55,50,45,135,95,120,"Alakazam",0.21259842519685,0.243243243243243,0.163265306122449,0.00864296007400619,"Weak"
"87",65,"Psychic","",600,55,50,65,175,105,150,"Alakazam Mega Alakazam",0.21259842519685,0.243243243243243,0.244897959183673,0.0128644401110093,"Weak"
"88",66,"Fighting","",305,70,80,50,35,35,35,"Machop",0.271653543307087,0.405405405405405,0.183673469387755,0.0204279251773065,"Weak"
"89",67,"Fighting","",405,80,100,70,50,60,45,"Machoke",0.311023622047244,0.513513513513513,0.26530612244898,0.0425733230257415,"Weak"
"90",68,"Fighting","",505,90,130,80,65,85,55,"Machamp",0.350393700787402,0.675675675675676,0.306122448979592,0.0726752552649066,"Weak"
"91",69,"Grass","Poison",300,50,75,35,70,30,40,"Bellsprout",0.192913385826772,0.378378378378378,0.122448979591837,0.00913807193019791,"Weak"
"92",70,"Grass","Poison",390,65,90,50,85,45,55,"Weepinbell",0.251968503937008,0.459459459459459,0.183673469387755,0.0214637512974971,"Weak"
"93",71,"Grass","Poison",490,80,105,65,100,70,70,"Victreebel",0.311023622047244,0.540540540540541,0.244897959183673,0.0413724596201537,"Weak"
"94",72,"Water","Poison",335,40,40,35,50,100,70,"Tentacool",0.153543307086614,0.189189189189189,0.122448979591837,0.00375698780895631,"Weak"
"95",73,"Water","Poison",515,80,70,65,80,120,100,"Tentacruel",0.311023622047244,0.351351351351351,0.244897959183673,0.0269620987530999,"Weak"
"96",74,"Rock","Ground",300,40,80,100,30,30,20,"Geodude",0.153543307086614,0.405405405405405,0.387755102040816,0.0243367029893464,"Weak"
"97",74,"Rock","Electric",300,40,80,100,30,30,20,"Geodude Alolan Geodude",0.153543307086614,0.405405405405405,0.387755102040816,0.0243367029893464,"Weak"
"98",75,"Rock","Ground",390,55,95,115,45,45,35,"Graveler",0.21259842519685,0.486486486486487,0.448979591836735,0.0466362804070341,"Weak"
"99",75,"Rock","Electric",390,55,95,115,45,45,35,"Graveler Alolan Graveler",0.21259842519685,0.486486486486487,0.448979591836735,0.0466362804070341,"Weak"
"100",76,"Rock","Ground",495,80,120,130,55,65,45,"Golem",0.311023622047244,0.621621621621622,0.510204081632653,0.0988423511732848,"Weak"
"101",76,"Rock","Electric",495,80,120,130,55,65,45,"Golem Alolan Golem",0.311023622047244,0.621621621621622,0.510204081632653,0.0988423511732848,"Weak"
"102",77,"Fire","",410,50,85,55,65,65,90,"Ponyta",0.192913385826772,0.432432432432432,0.204081632653061,0.0172248989146627,"Weak"
"103",77,"Psychic","",410,50,85,55,65,65,90,"Ponyta Galarian Ponyta",0.192913385826772,0.432432432432432,0.204081632653061,0.0172248989146627,"Weak"
"104",78,"Fire","",500,65,100,70,80,80,105,"Rapidash",0.251968503937008,0.513513513513513,0.26530612244898,0.034527755362626,"Weak"
"105",78,"Psychic","Fairy",500,65,100,70,80,80,105,"Rapidash Galarian Rapidash",0.251968503937008,0.513513513513513,0.26530612244898,0.034527755362626,"Weak"
"106",79,"Water","Psychic",315,90,65,65,40,40,15,"Slowpoke",0.350393700787402,0.324324324324324,0.244897959183673,0.0280304980217241,"Weak"
"107",79,"Psychic","",315,90,65,65,40,40,15,"Slowpoke Galarian Slowpoke",0.350393700787402,0.324324324324324,0.244897959183673,0.0280304980217241,"Weak"
"108",80,"Water","Psychic",490,95,75,110,100,80,30,"Slowbro",0.37007874015748,0.378378378378378,0.428571428571429,0.060212768674186,"Weak"
"109",80,"Water","Psychic",590,95,75,180,130,80,30,"Slowbro Mega Slowbro",0.37007874015748,0.378378378378378,0.714285714285714,0.100221281123643,"Weak"
"110",80,"Poison","Psychic",490,95,100,95,100,70,30,"Slowbro Galarian Slowbro",0.37007874015748,0.513513513513513,0.36734693877551,0.0700107717230327,"Weak"
"111",81,"Electric","Steel",325,25,35,70,95,55,45,"Magnemite",0.094488188976378,0.162162162162162,0.26530612244898,0.0042651289245215,"Weak"
"112",82,"Electric","Steel",465,50,60,95,120,70,70,"Magneton",0.192913385826772,0.297297297297297,0.36734693877551,0.0212683124068951,"Weak"
"113",83,"Normal","Flying",377,52,90,55,58,62,60,"Farfetch'd",0.200787401574803,0.459459459459459,0.204081632653061,0.0190272797946589,"Weak"
"114",83,"Fighting","",377,52,95,55,58,62,55,"Farfetch'd Galarian Farfetch'd",0.200787401574803,0.486486486486487,0.204081632653061,0.0201347668414035,"Weak"
"115",84,"Normal","Flying",310,35,85,45,35,35,75,"Doduo",0.133858267716535,0.432432432432432,0.163265306122449,0.00965055613222093,"Weak"
"116",85,"Normal","Flying",470,60,110,70,60,60,110,"Dodrio",0.232283464566929,0.567567567567568,0.26530612244898,0.0351770467880704,"Weak"
"117",86,"Water","",325,65,45,55,45,70,45,"Seel",0.251968503937008,0.216216216216216,0.204081632653061,0.0113183013320246,"Weak"
"118",87,"Water","Ice",475,90,70,80,70,95,70,"Dewgong",0.350393700787402,0.351351351351351,0.306122448979592,0.0378871327377514,"Weak"
"119",88,"Poison","",325,80,80,50,40,50,25,"Grimer",0.311023622047244,0.405405405405405,0.183673469387755,0.0233595085363364,"Weak"
"120",88,"Poison","Dark",325,80,80,50,40,50,25,"Grimer Alolan Grimer",0.311023622047244,0.405405405405405,0.183673469387755,0.0233595085363364,"Weak"
"121",89,"Poison","",500,105,105,75,65,100,50,"Muk",0.409448818897638,0.540540540540541,0.285714285714286,0.06343533882589,"Weak"
"122",89,"Poison","Dark",500,105,105,75,65,100,50,"Muk Alolan Muk",0.409448818897638,0.540540540540541,0.285714285714286,0.06343533882589,"Weak"
"123",90,"Water","",305,30,65,100,45,25,40,"Shellder",0.114173228346457,0.324324324324324,0.387755102040816,0.0145582438295599,"Weak"
"124",91,"Water","Ice",525,50,95,180,85,45,70,"Cloyster",0.192913385826772,0.486486486486487,0.714285714285714,0.0672355394764844,"Weak"
"125",92,"Ghost","Poison",310,30,35,30,100,35,80,"Gastly",0.114173228346457,0.162162162162162,0.102040816326531,0.00208924260915262,"Weak"
"126",93,"Ghost","Poison",405,45,50,45,115,55,95,"Haunter",0.173228346456693,0.243243243243243,0.163265306122449,0.00707944894919023,"Weak"
"127",94,"Ghost","Poison",500,60,65,60,130,75,110,"Gengar",0.232283464566929,0.324324324324324,0.224489795918367,0.0171119786667593,"Weak"
"128",94,"Ghost","Poison",600,60,65,80,170,95,130,"Gengar Mega Gengar",0.232283464566929,0.324324324324324,0.306122448979592,0.0232617890910354,"Weak"
"129",95,"Rock","Ground",385,35,45,160,30,45,70,"Onix",0.133858267716535,0.216216216216216,0.63265306122449,0.018510452506178,"Weak"
"130",96,"Psychic","",328,60,48,45,43,90,42,"Drowzee",0.232283464566929,0.232432432432432,0.163265306122449,0.00901472827479577,"Weak"
"131",97,"Psychic","",483,85,73,70,73,115,67,"Hypno",0.330708661417323,0.367567567567568,0.26530612244898,0.0324500228012039,"Weak"
"132",98,"Water","",325,30,105,90,25,25,50,"Krabby",0.114173228346457,0.540540540540541,0.346938775510204,0.021611416237063,"Weak"
"133",99,"Water","",475,55,130,115,50,50,75,"Kingler",0.21259842519685,0.675675675675676,0.448979591836735,0.0646948338986584,"Weak"
"134",100,"Electric","",330,40,30,50,55,55,100,"Voltorb",0.153543307086614,0.135135135135135,0.183673469387755,0.00401105836673891,"Weak"
"135",100,"Electric","Grass",330,40,30,50,55,55,100,"Voltorb Hisuian Voltorb",0.153543307086614,0.135135135135135,0.183673469387755,0.00401105836673891,"Weak"
"136",101,"Electric","",490,60,50,70,80,80,150,"Electrode",0.232283464566929,0.243243243243243,0.26530612244898,0.015190162909173,"Weak"
"137",101,"Electric","Grass",490,60,50,70,80,80,150,"Electrode Hisuian Electrode",0.232283464566929,0.243243243243243,0.26530612244898,0.015190162909173,"Weak"
"138",102,"Grass","Psychic",325,60,40,80,60,45,40,"Exeggcute",0.232283464566929,0.189189189189189,0.306122448979592,0.013652710303104,"Weak"
"139",103,"Grass","Psychic",530,95,95,85,125,75,55,"Exeggutor",0.37007874015748,0.486486486486487,0.326530612244898,0.0589880182930802,"Weak"
"140",103,"Grass","Dragon",530,95,105,85,125,75,45,"Exeggutor Alolan Exeggutor",0.37007874015748,0.540540540540541,0.326530612244898,0.0655200203256446,"Weak"
"141",104,"Ground","",320,50,50,95,40,50,35,"Cubone",0.192913385826772,0.243243243243243,0.36734693877551,0.017437710151096,"Weak"
"142",105,"Ground","",425,60,80,110,50,80,45,"Marowak",0.232283464566929,0.405405405405405,0.428571428571429,0.040558130909312,"Weak"
"143",105,"Fire","Ghost",425,60,80,110,50,80,45,"Marowak Alolan Marowak",0.232283464566929,0.405405405405405,0.428571428571429,0.040558130909312,"Weak"
"144",106,"Fighting","",455,50,120,53,35,110,87,"Hitmonlee",0.192913385826772,0.621621621621622,0.195918367346939,0.0236943605022345,"Weak"
"145",107,"Fighting","",455,50,105,79,35,110,76,"Hitmonchan",0.192913385826772,0.540540540540541,0.302040816326531,0.031696062992126,"Weak"
"146",108,"Normal","",385,90,55,75,60,75,30,"Lickitung",0.350393700787402,0.27027027027027,0.285714285714286,0.0272574286322318,"Weak"
"147",109,"Poison","",340,40,65,95,60,45,35,"Koffing",0.153543307086614,0.324324324324324,0.36734693877551,0.0184930801603468,"Weak"
"148",110,"Poison","",490,65,90,120,85,70,60,"Weezing",0.251968503937008,0.459459459459459,0.469387755102041,0.0545406977602703,"Weak"
"149",110,"Poison","Fairy",490,65,90,120,85,70,60,"Weezing Galarian Weezing",0.251968503937008,0.459459459459459,0.469387755102041,0.0545406977602703,"Weak"
"150",111,"Ground","Rock",345,80,85,95,30,30,25,"Rhyhorn",0.311023622047244,0.432432432432432,0.36734693877551,0.0496069515441844,"Weak"
"151",112,"Ground","Rock",485,105,130,120,45,45,40,"Rhydon",0.409448818897638,0.675675675675676,0.469387755102041,0.130058285088881,"Weak"
"152",113,"Normal","",450,250,5,5,35,105,50,"Chansey",0.980314960629921,0,0,2e-04,"Weak"
"153",114,"Grass","",435,65,55,115,100,40,60,"Tangela",0.251968503937008,0.27027027027027,0.448979591836735,0.0307753286630677,"Weak"
"154",115,"Normal","",490,105,95,80,40,80,90,"Kangaskhan",0.409448818897638,0.486486486486487,0.306122448979592,0.0611769338678225,"Weak"
"155",115,"Normal","",590,105,125,100,60,100,100,"Kangaskhan Mega Kangaskhan",0.409448818897638,0.648648648648649,0.387755102040816,0.103183266087878,"Weak"
"156",116,"Water","",295,30,40,70,70,25,60,"Horsea",0.114173228346457,0.189189189189189,0.26530612244898,0.00593070258109628,"Weak"
"157",117,"Water","",440,55,65,95,95,45,85,"Seadra",0.21259842519685,0.324324324324324,0.36734693877551,0.0255288802220186,"Weak"
"158",118,"Water","",320,45,67,60,35,50,63,"Goldeen",0.173228346456693,0.335135135135135,0.224489795918367,0.0132327338426326,"Weak"
"159",119,"Water","",450,80,92,65,65,80,68,"Seaking",0.311023622047244,0.47027027027027,0.244897959183673,0.0360200398695337,"Weak"
"160",120,"Water","",340,30,45,55,70,55,85,"Staryu",0.114173228346457,0.216216216216216,0.204081632653061,0.00523798029107365,"Weak"
"161",121,"Water","Psychic",520,60,75,85,100,85,115,"Starmie",0.232283464566929,0.378378378378378,0.326530612244898,0.0288991153132885,"Weak"
"162",122,"Psychic","Fairy",460,40,45,65,100,120,90,"Mr. Mime",0.153543307086614,0.216216216216216,0.244897959183673,0.008330257849043,"Weak"
"163",122,"Ice","Psychic",460,50,65,65,90,90,100,"Mr. Mime Galarian Mr. Mime",0.192913385826772,0.324324324324324,0.244897959183673,0.0155224090231964,"Weak"
"164",123,"Bug","Flying",500,70,110,80,55,80,105,"Scyther",0.271653543307087,0.567567567567568,0.306122448979592,0.0473984920803818,"Weak"
"165",124,"Ice","Psychic",455,65,50,35,115,95,95,"Jynx",0.251968503937008,0.243243243243243,0.122448979591837,0.00770485339911662,"Weak"
"166",125,"Electric","",490,65,83,57,95,85,105,"Electabuzz",0.251968503937008,0.421621621621622,0.212244897959184,0.0227479151013459,"Weak"
"167",126,"Fire","",495,65,95,57,100,85,93,"Magmar",0.251968503937008,0.486486486486487,0.212244897959184,0.0262168251169376,"Weak"
"168",127,"Bug","",500,65,125,100,55,70,85,"Pinsir",0.251968503937008,0.648648648648649,0.387755102040816,0.0635743175925403,"Weak"
"169",127,"Bug","Flying",600,65,155,120,65,90,105,"Pinsir Mega Pinsir",0.251968503937008,0.810810810810811,0.469387755102041,0.0960953489887123,"Weak"
"170",128,"Normal","",490,75,100,95,40,70,110,"Tauros",0.291338582677165,0.513513513513513,0.36734693877551,0.055157416037281,"Weak"
"171",128,"Fighting","",490,75,110,105,30,70,100,"Tauros Combat Breed",0.291338582677165,0.567567567567568,0.408163265306122,0.0676915635545557,"Weak"
"172",128,"Fighting","Fire",490,75,110,105,30,70,100,"Tauros Blaze Breed",0.291338582677165,0.567567567567568,0.408163265306122,0.0676915635545557,"Weak"
"173",128,"Fighting","Water",490,75,110,105,30,70,100,"Tauros Aqua Breed",0.291338582677165,0.567567567567568,0.408163265306122,0.0676915635545557,"Weak"
"174",129,"Water","",200,20,10,55,15,20,80,"Magikarp",0.0748031496062992,0.027027027027027,0.204081632653061,0.000612593213493101,"Weak"
"175",130,"Water","Flying",540,95,125,79,60,100,81,"Gyarados",0.37007874015748,0.648648648648649,0.302040816326531,0.0727052225614655,"Weak"
"176",130,"Water","Dark",640,95,155,109,70,130,81,"Gyarados Mega Gyarados",0.37007874015748,0.810810810810811,0.424489795918367,0.127574039635007,"Weak"
"177",131,"Water","Ice",535,130,85,80,85,95,60,"Lapras",0.507874015748031,0.432432432432432,0.306122448979592,0.0674309783670864,"Weak"
"178",132,"Normal","",288,48,48,48,48,48,48,"Ditto",0.18503937007874,0.232432432432432,0.175510204081633,0.00774854484888231,"Weak"
"179",133,"Normal","",325,55,55,50,45,65,55,"Eevee",0.21259842519685,0.27027027027027,0.183673469387755,0.0107537000925077,"Weak"
"180",133,"Normal","",435,65,75,70,65,85,75,"Eevee Partner Eevee",0.251968503937008,0.378378378378378,0.26530612244898,0.025494135530356,"Weak"
"181",134,"Water","",525,130,65,60,110,95,65,"Vaporeon",0.507874015748031,0.324324324324324,0.224489795918367,0.0371770381018975,"Weak"
"182",135,"Electric","",525,65,65,60,110,95,130,"Jolteon",0.251968503937008,0.324324324324324,0.224489795918367,0.0185451971978406,"Weak"
"183",136,"Fire","",525,65,130,60,95,110,65,"Flareon",0.251968503937008,0.675675675675676,0.224489795918367,0.0384191608288346,"Weak"
"184",137,"Normal","",395,65,60,70,85,75,40,"Porygon",0.251968503937008,0.297297297297297,0.26530612244898,0.020073963630994,"Weak"
"185",138,"Rock","Water",355,35,40,100,90,55,35,"Omanyte",0.133858267716535,0.189189189189189,0.387755102040816,0.0100197184811358,"Weak"
"186",139,"Rock","Water",495,70,60,125,115,70,55,"Omastar",0.271653543307087,0.297297297297297,0.489795918367347,0.0397568314578438,"Weak"
